city,osm_id,type,amenity_type,name,lat,lon,address,phone,website,opening_hours,wheelchair,scraped_at
Tunis,283583078,node,pharmacy,الصيدلية المركزية,36.8334563,10.1809179,,,,,,2026-02-15T13:30:52.498381
Tunis,330182866,node,restaurant,Le Capitole,36.7994588,10.1818931,,,,,,2026-02-15T13:30:52.498381
Tunis,330183222,node,fast_food,Le Carré,36.7983111,10.1817644,,,,,,2026-02-15T13:30:52.498381
Tunis,330183245,node,fast_food,Mic Mac Fast Food,36.7983867,10.1826055,,,,,,2026-02-15T13:30:52.498381
Tunis,390874564,node,cafe,Lella Aroussia,36.8429118,10.165476,,,,,,2026-02-15T13:30:52.498381
Tunis,393131265,node,fuel,طوطال,36.8379468,10.1632792,,,,,,2026-02-15T13:30:52.498381
Tunis,393271098,node,cafe,La Rosa,36.835122,10.1463996,,,,,,2026-02-15T13:30:52.498381
Tunis,393271099,node,university,المدرسة الوطنية للمهندسين بتونس,36.831129,10.1466462,,,,,,2026-02-15T13:30:52.498381
Tunis,393271100,node,university,معهد العلوم في تونس,36.8338481,10.1465992,,,,,,2026-02-15T13:30:52.498381
Tunis,393271101,node,restaurant,أليسا,36.8350414,10.1486521,,,,,,2026-02-15T13:30:52.498381
Tunis,393388456,node,cafe,Centre Ines,36.8380783,10.1596021,,,,,,2026-02-15T13:30:52.498381
Tunis,393408311,node,cafe,Brooklin,36.8394182,10.1579859,Avenue Abdelaziz el Saud,+216 20 727 474,,,,2026-02-15T13:30:52.498381
Tunis,393408315,node,cafe,Nomade,36.8395839,10.1578534,,,,,,2026-02-15T13:30:52.498381
Tunis,483108304,node,university,المعهد التحضيري للدراسات الهندسية بالمنار,36.82933,10.1436315,,,,,,2026-02-15T13:30:52.498381
Tunis,483110786,node,clinic,دلتا مديكال,36.8354994,10.1519488,,,,,,2026-02-15T13:30:52.498381
Tunis,559413719,node,restaurant,Parad'Ice Plaza,36.8314844,10.222763,,,,,,2026-02-15T13:30:52.498381
Tunis,616104027,node,cafe,بيلا فيستا,36.7743647,10.1874335,,,,,,2026-02-15T13:30:52.498381
Tunis,616133840,node,music_school,المعهد الوطني للموسيقى بتونس,36.8014251,10.1808175,,,,,,2026-02-15T13:30:52.498381
Tunis,616133875,node,arts_centre,دار الثقافة ابن رشيق,36.8012686,10.1809769,شارع باريس,,,,,2026-02-15T13:30:52.498381
Tunis,616133878,node,cafe,Café de Tunis,36.7994108,10.1816029,,,,,,2026-02-15T13:30:52.498381
Tunis,616133881,node,cinema,الكوليزي,36.8001367,10.1818873,,,,,no,2026-02-15T13:30:52.498381
Tunis,616136218,node,fire_station,الحماية المدنية,36.8082531,10.1793932,,,,,,2026-02-15T13:30:52.498381
Tunis,616142053,node,cinema,البرناص,36.799922,10.1799776,,,,,,2026-02-15T13:30:52.498381
Tunis,616142056,node,parking_entrance,,36.7988722,10.1807147,,,,,,2026-02-15T13:30:52.498381
Tunis,617996926,node,cafe,Café El Houma,36.8436012,10.1661464,,,,,,2026-02-15T13:30:52.498381
Tunis,621885570,node,post_office,Tunis Bab Mnara (1008),36.794479,10.1695965,,,,,,2026-02-15T13:30:52.498381
Tunis,631669459,node,bank,بنك تونس العربي الدولي,36.8353106,10.1499836,,,,,,2026-02-15T13:30:52.498381
Tunis,635336390,node,cinema,سني جميل,36.8465916,10.1669552,cité jamil,+216 71 755 909,,Mo-Sa 10:00-22:00,,2026-02-15T13:30:52.498381
Tunis,635336475,node,place_of_worship,Mosquée Campus El Manar,36.8294048,10.1476312,,,,,,2026-02-15T13:30:52.498381
Tunis,715619811,node,place_of_worship,جامع نهج مرسيليا,36.8052826,10.181076,,,,,,2026-02-15T13:30:52.498381
Tunis,1036947827,node,parking,,36.8456827,10.1648358,,,,,,2026-02-15T13:30:52.498381
Tunis,1036982155,node,public_building,Foyer,36.8385452,10.1441776,,,,,,2026-02-15T13:30:52.498381
Tunis,1036987442,node,school,École,36.8022118,10.1773048,,,,,,2026-02-15T13:30:52.498381
Tunis,1037011464,node,hospital,المركز المندمج للشباب والطفولة بالخضراء,36.8300388,10.1921935,,,,,,2026-02-15T13:30:52.498381
Tunis,1037080408,node,post_office,البريد التونسي,36.8033948,10.1725707,,,,,,2026-02-15T13:30:52.498381
Tunis,1037098515,node,restaurant,دار الجلد Dar El Jeld,36.798555,10.1691613,Rue Dar El Jeld,+216 71 560 916,https://www.dareljeld.com/en/gastronomy/,,,2026-02-15T13:30:52.498381
Tunis,1037101007,node,place_of_worship,مسجد الطرّاز,36.7989013,10.1698422,,,,,,2026-02-15T13:30:52.498381
Tunis,1037115566,node,townhall,بلدية العمران,36.8162489,10.159597,,,,,,2026-02-15T13:30:52.498381
Tunis,1037116388,node,college,الجامعة المركزية الخاصة,36.8173536,10.1833031,,,,,,2026-02-15T13:30:52.498381
Tunis,1037120924,node,place_of_worship,Larbi Kabadi,36.8083281,10.168021,,,,,,2026-02-15T13:30:52.498381
Tunis,1037160798,node,bank,بنك الإسكان,36.8051387,10.1849065,,,,,,2026-02-15T13:30:52.498381
Tunis,1037185858,node,townhall,بلدية المنزه,36.8456048,10.1651564,,,,,,2026-02-15T13:30:52.498381
Tunis,1080366847,node,place_of_worship,مسجد,36.8170152,10.1809118,,,,,,2026-02-15T13:30:52.498381
Tunis,1080749590,node,bus_station,محطة تونس البحرية,36.800319,10.190424,,,,,,2026-02-15T13:30:52.498381
Tunis,1103254611,node,place_of_worship,مسجد,36.7971424,10.1296386,,,,,,2026-02-15T13:30:52.498381
Tunis,1103532141,node,parking,سنترال بارك,36.8015954,10.1829784,,,,,,2026-02-15T13:30:52.498381
Tunis,1103582388,node,theatre,قصر خزندار,36.8087157,10.1676883,,,,,,2026-02-15T13:30:52.498381
Tunis,1103582461,node,fountain,,36.8081439,10.167459,,,,,,2026-02-15T13:30:52.498381
Tunis,1104431219,node,fountain,,36.8075981,10.1370017,,,,,,2026-02-15T13:30:52.498381
Tunis,1119784026,node,school,,36.7935006,10.1432061,,,,,,2026-02-15T13:30:52.498381
Tunis,1121427150,node,public_building,SO.N.E.D.E,36.8023926,10.1373221,,,,,,2026-02-15T13:30:52.498381
Tunis,1121428420,node,townhall,دار البلدية,36.7976924,10.1337518,,,,,,2026-02-15T13:30:52.498381
Tunis,1123385839,node,police,,36.7985587,10.150957,,,,,,2026-02-15T13:30:52.498381
Tunis,1123401308,node,telephone,,36.796104,10.1489365,,,,,,2026-02-15T13:30:52.498381
Tunis,1123721080,node,place_of_worship,,36.79721,10.1521182,,,,,,2026-02-15T13:30:52.498381
Tunis,1123727028,node,school,,36.7924634,10.1585685,,,,,,2026-02-15T13:30:52.498381
Tunis,1140780773,node,school,مدرسة ابن شرف الثانوية,36.7988441,10.1610486,,,,,,2026-02-15T13:30:52.498381
Tunis,1140780778,node,college,المعهد العالي للعلوم الانسانية بتونس,36.7995381,10.1612519,,,,,,2026-02-15T13:30:52.498381
Tunis,1143482424,node,courthouse,محكمة النقض,36.8005405,10.1643128,Boulevard du 9 Avril 1938,,,,,2026-02-15T13:30:52.498381
Tunis,1144116853,node,school,École Primaire Rue Florian,36.8061558,10.1562636,,,,,,2026-02-15T13:30:52.498381
Tunis,1156202929,node,place_of_worship,Mosquée Essalah جامع الصلاح,36.8084816,10.1462655,,,,,,2026-02-15T13:30:52.498381
Tunis,1158225731,node,restaurant,Steak Haus,36.8024064,10.1823039,Rue Garibaldi,,,,,2026-02-15T13:30:52.498381
Tunis,1158342264,node,car_rental,Prestige,36.8067127,10.1845921,,,,,,2026-02-15T13:30:52.498381
Tunis,1159346485,node,school,مدرسة,36.8235036,10.138599,,,,,,2026-02-15T13:30:52.498381
Tunis,1159346487,node,townhall,وفد,36.8241573,10.1388488,,,,,,2026-02-15T13:30:52.498381
Tunis,1159346491,node,police,مركز الشرطة,36.8243066,10.1387712,,,,,,2026-02-15T13:30:52.498381
Tunis,1167767796,node,place_of_worship,,36.8294867,10.1377098,,,,,,2026-02-15T13:30:52.498381
Tunis,1183577592,node,police,,36.8224527,10.1851262,,,,,,2026-02-15T13:30:52.498381
Tunis,1184337762,node,school,,36.8232711,10.1811288,,,,,,2026-02-15T13:30:52.498381
Tunis,1190764301,node,bureau_de_change,بنك الأمان,36.8451936,10.1528001,,,,,,2026-02-15T13:30:52.498381
Tunis,1191101585,node,restaurant,Mabillon,36.8440923,10.156152,,,,,,2026-02-15T13:30:52.498381
Tunis,1195815835,node,fuel,شل,36.7777433,10.209071,,,,,,2026-02-15T13:30:52.498381
Tunis,1198582462,node,place_of_worship,مسجد الحرمين,36.8082738,10.1281691,,,,,,2026-02-15T13:30:52.498381
Tunis,1227987240,node,bank,STB El Manar,36.8380635,10.1567961,,,,,,2026-02-15T13:30:52.498381
Tunis,1227987245,node,public_building,Centre Molka,36.8365841,10.15678,,,,,,2026-02-15T13:30:52.498381
Tunis,1227987251,node,public_building,Integsy Tunisie,36.8381716,10.1562216,,,,,,2026-02-15T13:30:52.498381
Tunis,1227987258,node,school,École Primaire d'El Manar 3,36.8358407,10.1569255,,,,,,2026-02-15T13:30:52.498381
Tunis,1227987266,node,dentist,Dr. Abbound & Dr. Elmetoui,36.8375365,10.1580892,,,,,,2026-02-15T13:30:52.498381
Tunis,1228866835,node,place_of_worship,,36.8468927,10.1648453,,,,,,2026-02-15T13:30:52.498381
Tunis,1233511765,node,fast_food,باغيت وباغيت,36.8461396,10.1666657,,,,,,2026-02-15T13:30:52.498381
Tunis,1234603474,node,pharmacy,صيدلية الليل,36.8424613,10.1659011,,,,,,2026-02-15T13:30:52.498381
Tunis,1237113181,node,school,,36.8307625,10.1404651,,,,,,2026-02-15T13:30:52.498381
Tunis,1237113195,node,school,,36.8303674,10.1405498,,,,,,2026-02-15T13:30:52.498381
Tunis,1239680879,node,marketplace,,36.8304633,10.1343391,,,,,,2026-02-15T13:30:52.498381
